brewery_id,brewer,,brewery_id,website
803,"Lost Coast Brewery",,803,http://www.lostcoast.com/
804,"LÃ¶wenbrÃ¤u Brauerei",,804,
810,"Mad River Brewing",,810,
812,"Magic Hat",,812,http://www.magichat.net/
813,"Magnolia Pub and Brewery",,813,http://www.magnoliapub.com/
819,"Maisel Bru",,819,
823,"Manayunk Brewery and Restaurant",,823,http://www.manayunkbrewery.com/
825,"Marble Brewery",,825,http://marblebrewery.com/
826,"Margaritaville Brewing Company",,826,http://www.landsharklager.com/
827,"Marin Brewing",,827,
829,"Maritime Pacific Brewing",,829,
832,Martini-Brauerei,,832,
833,"Marzoni's Brick Oven & Brewing Co",,833,http://www.marzonis.com/
836,"Maui Brewing Co.",,836,http://mauibrewingco.com/
841,"McKenzie Brew House",,841,http://www.mckenziebrewhouse.com
842,"McMenamins Mill Creek",,842,
844,"Meantime Brewing Company Limited",,844,http://www.meantimebrewing.com/
847,"Mendocino Brewing - Hopland",,847,
848,"Mendocino Brewing - Saratoga Springs",,848,http://www.mendobrew.com/
850,"Mercury Brewing Company",,850,http://www.mercurybrewing.com
851,"Metropolitan Brewing",,851,http://www.metrobrewing.com/
853,"Michigan Brewing",,853,http://www.michiganbrewing.com/
857,"Middle Ages Brewing",,857,http://www.middleagesbrewing.com/
858,"Midnight Sun Brewing Co.",,858,http://www.midnightsunbrewing.com/
859,Mikkeller,,859,http://www.mikkeller.dk/
863,"Miller Brewing",,863,http://www.millerbrewing.com
866,"Milly's Tavern",,866,
867,"Milwaukee Ale House",,867,
868,"Minhas Craft Brewery",,868,
869,"Minneapolis Town Hall Brewery",,869,http://www.townhallbrewery.com/
873,"Mission Springs Brewing",,873,
876,"Mogollon Brewing Company",,876,http://www.mogbrew.com/
878,"Molson Breweries of Canada",,878,
881,"Monteith's Brewing Co.",,881,http://www.monteiths.com/nz/
882,"Moon River Brewing Company",,882,http://www.moonriverbrewing.com/
884,"Moorhouse's Brewery (Burnley)",,884,
885,"Moose's Tooth Pub and Pizzeria",,885,http://www.moosestooth.net/
